name,population,longitude,latitude,flaeche,region
"Bruchsal, Stadt",47784,8.5977,49.125785,93.04,Nördliches Baden-Württemberg
"Soest, Stadt",47776,8.106308,51.572543,85.81,Sauerland
"Singen (Hohentwiel), Stadt",47621,8.835117,47.759711,61.77,Hegau
"Goslar, Stadt",47419,10.429312,51.906508,163.88,Harz
"Neunkirchen, Kreisstadt",47344,7.178148,49.345482,75.26,Übriges Saarland
"Dachau, GKSt",47138,11.437493,48.263327,34.96,Münchener Umland
"Fellbach, Stadt",47120,9.278375,48.80685,27.71,Region Stuttgart
"Albstadt, Stadt",46950,9.026328,48.214156,134.4,Schwäbische Alb
Hof,46778,11.913545,50.316521,58.02,Fichtelgebirge
"Oberursel (Taunus), Stadt",46736,8.582282,50.200588,45.34,Main und Taunus
"Melle, Stadt",46436,8.335672,52.201721,253.95,Grafschaft Bentheim-Emsland-Osnabrücker Land
"Gotha, Stadt",46400,10.70337,50.948759,69.58,Welterberegion Wartburg-Hainich
"Bünde, Stadt",46365,8.58371,52.197547,59.3,Teutoburger Wald
"Filderstadt, Stadt",46243,9.21973,48.67876,38.55,Region Stuttgart
Kaufbeuren,46193,10.620583,47.879698,40.02,Allgäu
"Weinheim, Stadt",45852,8.670732,49.550558,58.11,Nördliches Baden-Württemberg
"Schwerte, Hansestadt an der Ruhr",45821,7.568982,51.441141,56.23,Ruhrgebiet
"Falkensee, Stadt",45720,13.095729,52.562932,43.34,Havelland
"Rottenburg am Neckar, Stadt",45677,8.936507,48.479475,142.27,Schwäbische Alb
"Brühl, Stadt",45555,6.902458,50.82949,36.12,Köln und Rhein-Erft-Kreis
"Erkelenz, Stadt",45315,6.314104,51.078671,117.34,Niederrhein
"Rodgau, Stadt",45277,8.88533,50.024355,65.04,Main und Taunus
"Wittenberg, Lutherstadt",45249,12.645554,51.867003,241.77,Anhalt-Wittenberg
"Pinneberg, Stadt",44865,9.796428,53.661209,21.54,übrig. Schleswig-Holstein
"Neustadt am Rübenberge, Stadt",44668,9.457529,52.504751,358.96,Hannover-Hildesheim
"Bernau bei Berlin, Stadt",44597,13.587912,52.678368,104.21,Barnimer Land
"Lehrte, Stadt",44255,9.976958,52.372615,127.67,Hannover-Hildesheim
Memmingen,44192,10.181558,47.984959,70.11,Allgäu
Seevetal,44158,10.034869,53.377707,105.33,Lüneburger Heide
"Erkrath, Fundort des Neanderthalers, Stadt",43706,6.913114,51.218566,26.88,Düsseldorf und Kreis Mettmann
"Monheim am Rhein, Stadt",43630,6.884614,51.091702,23.05,Düsseldorf und Kreis Mettmann
"Bietigheim-Bissingen, Stadt",43556,9.132652,48.948358,31.29,Region Stuttgart
"Homburg, Kreisstadt",43382,7.342736,49.323778,82.61,Übriges Saarland
"Wismar, Hansestadt",43329,11.466024,53.891577,41.84,Mecklenburgische Ostseeküste
"Kaarst, Stadt",43295,6.614471,51.231804,37.39,Niederrhein
"Heinsberg, Stadt",43163,6.094538,51.061906,92.21,Niederrhein
"Borken, Stadt",43035,6.858415,51.843222,153.24,Münsterland
"Gifhorn, Stadt",42726,10.54687,52.484369,105.4,Lüneburger Heide
"Aurich, Stadt",42612,7.482377,53.469895,197.29,Ostfriesland
"Schwäbisch Hall, Stadt",42598,9.735145,49.112856,104.19,Nördliches Baden-Württemberg
Amberg,42553,11.856142,49.445278,50.14,Bayerischer Jura
"Siegburg, Stadt",42445,7.2049,50.796665,23.66,Bonn und Rhein-Sieg-Kreis
Weiden i.d.OPf.,42444,12.160209,49.676076,70.57,Oberpfälzer Wald
"Kamen, Stadt",42319,7.662404,51.592335,40.95,Ruhrgebiet
"Kirchheim unter Teck, Stadt",42299,9.453784,48.646093,40.47,Region Stuttgart
"Nettetal, Stadt",41955,6.275553,51.30812,83.87,Niederrhein
"Laatzen, Stadt",41838,9.788174,52.314795,34.16,Hannover-Hildesheim
"Buchholz in der Nordheide, Stadt",41737,9.881469,53.329257,74.76,Lüneburger Heide
"Dreieich, Stadt",41692,8.69546,50.017689,53.27,Main und Taunus
"Schorndorf, Stadt",41647,9.528152,48.805051,56.83,Region Stuttgart
"Freiberg, Stadt, Universitätsstadt",41519,13.344344,50.914868,48.31,Erzgebirge
"Eberswalde, Stadt",41481,13.820369,52.834577,93.63,Barnimer Land
"Wunstorf, Stadt",41211,9.424195,52.425436,125.74,Hannover-Hildesheim
"Hückelhoven, Stadt",41192,6.226269,51.05634,61.27,Niederrhein
